Title: OUR DUTY IN THE JUDGMENT DAY. PART 1
Video ID: AyiSYKQMaWk
URL: https://www.youtube.com/watch?v=AyiSYKQMaWk
[234.0s] [Music]
[245.1s] [Music]
[297.5s] [Music]
[304.8s] [Music]
[319.8s] um
[323.1s] [Music]
[358.0s] [Music]
[364.5s] present
[372.7s] [Music]
[394.9s] [Music]
[404.3s] [Music]
[425.8s] [Music]
[434.9s] foreign
[455.3s] [Music]
[461.4s] foreign
[464.0s] [Music]
[481.6s] [Music]
[494.3s] foreign
[498.4s] [Music]
[528.9s] [Music]
[536.8s] [Music]
[546.0s] [Music]
[566.8s] [Music]
[605.7s] [Music]
[611.8s] [Music]
[631.6s] [Music]
[713.1s] october 22
[716.1s] 18 44.
[718.7s] [Music]
[728.1s] second
[744.3s] [Applause]
[746.1s] [Music]
[758.3s] [Music]
[770.7s] here
[782.8s] [Music]
[796.4s] [Music]
[812.4s] foreign
[814.7s] [Music]
[822.6s] uh
[827.0s] [Music]
[836.5s] [Music]
[854.7s] [Music]
[882.3s] foreign
[883.7s] [Music]
[910.7s] foreign
[920.5s] [Music]
[948.8s] [Music]
[966.6s] is
[994.9s] [Music]
[1018.8s] [Music]
[1035.7s] [Music]
[1048.5s] [Music]
[1075.7s] [Music]
[1097.1s] [Music]
[1114.2s] [Music]
[1120.6s] [Music]
[1130.4s] [Music]
[1147.7s] judgment hall
[1161.5s] is
[1162.5s] [Music]
[1218.8s] foreign
[1226.9s] [Music]
[1235.7s] [Music]
[1246.9s] [Music]
[1252.1s] [Music]
[1260.5s] honor
[1265.1s] [Music]
[1275.3s] luke 19 verse 12 sorry
[1286.3s] israelites
[1301.8s] day of atonement
[1308.8s] [Music]
[1334.4s] [Music]
[1344.2s] yes
[1352.7s] [Music]
[1360.9s] [Music]
[1393.1s] [Music]
[1425.6s] [Music]
[1456.3s] goku
[1457.6s] [Music]
[1482.2s] foreign
[1485.6s] [Music]
[1491.7s] [Music]
[1498.5s] foreign
[1522.5s] [Music]
[1530.2s] [Music]
[1550.0s] [Music]
[1557.8s] [Music]
[1570.3s] [Music]
[1596.5s] m
[1613.2s] [Music]
[1623.5s] [Music]
[1652.8s] foreign
[1672.5s] [Music]
[1715.0s] [Music]
[1731.3s] foreign
[1738.8s] [Music]
[1752.3s] [Music]
[1763.4s] oh
[1765.1s] [Music]
[1803.7s] [Music]
[1871.7s] [Music]
[1880.3s] [Music]
[1890.6s] the president
[1895.4s] [Music]
[1903.3s] foreign
[1906.4s] [Music]
[1940.8s] [Music]
[1946.6s] it is the platform of truth the first
[1949.3s] second and third angels messages
[1965.8s] [Music]
[2014.6s] [Music]
[2044.7s] foreign
[2053.1s] we belong to the family of christians
[2055.3s] that profess the trinitarian god
[2057.7s] when i say my powers
[2147.6s] [Music]
[2170.8s] is
[2174.6s] [Music]
[2184.6s] foreign
[2194.6s] [Music]
[2200.8s] [Music]
[2223.1s] [Music]
[2232.4s] [Music]
[2240.4s] them
[2260.9s] [Music]
[2277.6s] [Music]
[2306.0s] i saw a company who stood well guarded
[2308.4s] and farmed
[2313.3s] giving no countenance to those who
[2315.8s] unsettled the established faith of the
[2318.4s] body
[2335.1s] i was shown three steps
[2337.6s] who are too unhappy
[2339.6s] first
[2340.6s] second and third angels messages said my
[2343.8s] accompanying angel malai kawangua
[2345.9s] kanyamiya woe unto him that shall move
[2349.1s] upload or appear
[2353.2s] or opinion
[2354.9s] [Music]
[2357.3s] of these messages
[2360.0s] their true understanding their true
[2362.2s] understanding
[2368.6s] is vital
[2371.1s] the destiny of souls hands upon the
[2372.8s] manner in which they are presented and
[2374.6s] received
[2375.1s] [Music]
[2378.4s] i was again
[2380.2s] brought down through these messages
[2385.4s] and i saw how dearly the people of god
[2388.1s] had purchased their experiences
[2394.9s] it had been obtained
[2396.6s] through my suffering and severe conflict
[2402.3s] i saw people approach the platform
[2407.6s] your platform
[2408.8s] and they begin to find fault with the
[2411.3s] foundation there
[2413.0s] some said it was late wrongly
[2416.8s] [Music]
[2422.2s] [Music]
[2436.8s] [Music]
[2461.1s] [Music]
[2464.6s] foreign
[2468.4s] [Music]
[2492.6s] [Music]
[2501.0s] [Music]
[2530.9s] [Music]
[2534.7s] is
[2540.0s] [Music]
[2554.5s] [Music]
[2564.2s] took on a new organization
[2566.7s] the fundamental principles that have
[2568.6s] sustained the work for the past 50 years
[2571.4s] would be accounted us
[2575.0s] a new organization would be established
[2584.9s] [Music]
[2607.1s] [Music]
[2613.8s] [Music]
[2627.4s] [Music]
[2662.1s] [Music]
[2672.1s] [Music]
[2697.7s] [Music]
[2703.2s] [Music]
[2714.2s] foreign
[2725.4s] [Music]
[2746.7s] [Music]
[2760.7s] [Music]
[2800.7s] [Music]
[2825.5s] [Music]
[2830.9s] [Music]
[2837.5s] they had a holy convocation
[2840.4s] holy convocation
[2842.1s] yakuanza
[2845.4s] [Music]
[2856.7s] [Music]
[2899.0s] walk at any bigger where's it behavior
[2902.1s] you're wrong
[2903.6s] i wish i can
[2905.8s] [Music]
[2908.8s] ah you can abandon
[2915.1s] [Music]
[2926.5s] [Music]
[2957.1s] [Music]
[2967.6s] say
[2974.0s] [Music]
[2979.6s] my
[2980.9s] [Music]
[2988.8s] [Music]
[3004.2s] [Music]
[3021.0s] [Music]
[3031.5s] [Music]
[3038.5s] me
[3042.0s] [Music]
[3052.6s] in
[3056.9s] [Music]
[3080.9s] district
[3087.4s] [Music]
[3094.9s] [Music]
[3101.0s] [Music]
[3108.6s] foreign
[3113.7s] [Music]
[3122.0s] video
[3135.8s] okay
[3137.8s] [Music]
[3149.4s] [Music]
[3150.7s] afflicting
[3152.6s] [Music]
[3165.8s] [Music]
[3185.1s] [Music]
[3198.6s] [Music]
[3206.4s] [Music]
[3224.1s] [Music]
[3246.5s] [Music]
[3291.7s] we are in a holy fasting day
[3294.8s] as we afflict ourselves
[3296.7s] that we made radical that we may seek
[3299.6s] the right way
[3301.2s] from the lord for us
[3303.0s] and our children
[3329.4s] [Music]
[3357.3s] in the time of afflicting their souls
[3359.8s] they were also
[3364.5s] [Music]
[3371.3s] [Music]
[3410.1s] you cannot know the true way of the lord
[3413.0s] for you and your children your family is
[3432.5s] [Music]
[3446.3s] [Music]
[3453.1s] [Music]
[3463.0s] [Music]
[3473.0s] but it's the inability to never find
[3475.0s] your screen
[3476.2s] amen
[3477.7s] [Music]
[3484.6s] fungi
[3489.0s] two plus
[3491.9s] [Music]
